n,k,alpha,alpha_odd,alpha_squared,alpha_od_eq_alpha,alpha_od_eq_alpha_squared,premer,min_stopnja,max_stopnja,neparna_stopnja,obseg,radij,Hamiltonov,kromaticno_st,gostota,st_trikotnikov,st_kvadratov
1,1,1,1,1,True,True,0,0,0,False,inf,0,False,1,0.000000000000000,0,0
2,1,1,1,1,True,True,1,1,1,True,inf,1,False,2,1.0,0,0
2,2,2,1,1,False,True,2,2,2,False,4.0,2,True,2,0.6666666666666666,0,0
3,1,1,1,1,True,True,1,2,2,False,3.0,1,True,3,1.0,3,0
3,2,2,1,1,False,True,2,3,3,True,3.0,2,True,3,0.6,6,3
3,3,3,1,1,False,True,2,4,4,False,3.0,2,True,3,0.5,18,9
4,1,1,1,1,True,True,1,3,3,True,3.0,1,True,4,1.0,12,6
4,2,2,1,1,False,True,2,4,4,False,3.0,2,True,4,0.5714285714285714,24,12
4,3,3,1,1,False,True,2,5,5,True,3.0,2,True,4,0.45454545454545453,48,24
4,4,4,1,1,False,True,2,6,6,False,3.0,2,True,4,0.4,96,48
5,1,1,1,1,True,True,1,4,4,False,3.0,1,True,5,1.0,30,15
5,2,2,1,1,False,True,2,5,5,True,3.0,2,True,5,0.5555555555555556,60,30
5,3,3,1,1,False,True,2,6,6,False,3.0,2,True,5,0.42857142857142855,105,52
5,4,4,1,1,False,True,2,7,7,True,3.0,2,True,5,0.3684210526315789,180,90
5,5,5,1,1,False,True,2,8,8,False,3.0,2,True,5,0.3333333333333333,300,150
6,1,1,1,1,True,True,1,5,5,True,3.0,1,True,6,1.0,60,30
6,2,2,1,1,False,True,2,6,6,False,3.0,2,True,6,0.5454545454545454,120,60
6,3,3,1,1,False,True,2,7,7,True,3.0,2,True,6,0.4117647058823529,198,99
6,4,4,1,1,False,True,2,8,8,False,3.0,2,True,6,0.34782608695652173,312,156
6,5,5,1,1,False,True,2,9,9,True,3.0,2,True,6,0.3103448275862069,480,240
6,6,6,1,1,False,True,2,10,10,False,3.0,2,True,6,0.2857142857142857,720,360
7,1,1,1,1,True,True,1,6,6,False,3.0,1,True,7,1.0,105,52
7,2,2,1,1,False,True,2,7,7,True,3.0,2,True,7,0.5384615384615384,210,105
7,3,3,1,1,False,True,2,8,8,False,3.0,2,True,7,0.4,336,168
7,4,4,1,1,False,True,2,9,9,True,3.0,2,True,7,0.3333333333333333,504,252
7,5,5,1,1,False,True,2,10,10,False,3.0,2,True,7,0.29411764705882354,735,367
7,6,6,,1,False,False,2,11,11,True,3.0,2,True,7,0.2682926829268293,1050,525
7,7,7,,1,False,False,2,12,12,False,3.0,2,True,7,0.25,1470,735
8,1,1,1,1,True,True,1,7,7,True,3.0,1,True,8,1.0,168,84
8,2,2,1,1,False,True,2,8,8,False,3.0,2,True,8,0.5333333333333333,336,168
8,3,3,1,1,False,True,2,9,9,True,3.0,2,True,8,0.391304347826087,528,264
8,4,4,1,1,False,True,2,10,10,False,3.0,2,True,8,0.3225806451612903,768,384
8,5,5,1,1,False,True,2,11,11,True,3.0,2,True,8,0.28205128205128205,1080,540
8,6,6,,1,False,False,2,12,12,False,3.0,2,True,8,0.2553191489361702,1488,744
8,7,7,,1,False,False,2,13,13,True,3.0,2,True,8,0.23636363636363636,2016,1008
8,8,8,,1,False,False,2,14,14,False,3.0,2,True,8,0.2222222222222222,2688,1344
9,1,1,1,1,True,True,1,8,8,False,3.0,1,True,9,1.0,252,126
9,2,2,1,1,False,True,2,9,9,True,3.0,2,True,9,0.5294117647058824,504,252
9,3,3,1,1,False,True,2,10,10,False,3.0,2,True,9,0.38461538461538464,783,391
9,4,4,1,1,False,True,2,11,11,True,3.0,2,True,9,0.3142857142857143,1116,558
9,5,5,,1,False,False,2,12,12,False,3.0,2,True,9,0.2727272727272727,1530,765
9,6,6,,1,False,False,2,13,13,True,3.0,2,True,9,0.24528301886792453,2052,1026
9,7,7,,1,False,False,2,14,14,False,3.0,2,True,9,0.22580645161290322,2709,1354
9,8,8,,1,False,False,2,15,15,True,3.0,2,True,9,0.2112676056338028,3528,1764
9,9,9,,1,False,False,2,16,16,False,3.0,2,True,9,0.2,4536,2268
